date,state,positive
20200821,LA,141720
20200821,MA,125216
20200821,MD,102899
20200821,ME,4285
20200821,MI,104618
20200821,MN,68133
20200821,MO,72964
20200821,MP,54
20200821,MS,76323
20200821,MT,6216
20200821,NC,151912
20200821,ND,9468
20200821,NE,31348
20200821,NH,7050
20200821,NJ,188817
20200821,NM,23951
20200821,NV,64433
20200821,NY,428512
20200821,OH,113046
20200821,OK,51746
20200821,OR,24421
20200821,PA,127633
20200821,PR,28846
20200821,RI,21022
20200821,SC,110378
20200821,SD,10884
20200821,TN,140844
20200821,TX,567580
20200821,UT,48445
20200821,VA,110860
20200821,VI,932
20200821,VT,1541
20200821,WA,71414
20200821,WI,73751
20200821,WV,9066
20200821,WY,3524
20200820,AK,5332
20200820,AL,112449
20200820,AR,54765
20200820,AS,0
20200820,AZ,196280
20200820,CA,644751
20200820,CO,53901
20200820,CT,51432
20200820,DC,13409
20200820,DE,16718
20200820,FL,588602
20200820,GA,246741
20200820,GU,704
20200820,HI,5844
20200820,IA,54015
20200820,ID,28696
20200820,IL,215053
20200820,IN,83277
20200820,KS,35890
20200820,KY,41626
20200820,LA,140821
20200820,MA,124728
20200820,MD,102229
20200820,ME,4253
20200820,MI,104618
20200820,MN,67308
20200820,MO,71733
20200820,MP,54
20200820,MS,75449
20200820,MT,6072
20200820,NC,149904
20200820,ND,9237
20200820,NE,31040
20200820,NH,7050
20200820,NJ,188527
20200820,NM,23749
20200820,NV,63584
20200820,NY,427803
20200820,OH,112003
20200820,OK,50669
20200820,OR,24165
20200820,PA,126940
20200820,PR,28143
20200820,RI,20871
20200820,SC,109320
20200820,SD,10691
20200820,TN,139175
20200820,TX,562559
20200820,UT,47982
20200820,VA,109882
20200820,VI,869
20200820,VT,1537
20200820,WA,70973
20200820,WI,72903
20200820,WV,8982
20200820,WY,3468
20200819,AK,5247
20200819,AL,111478
20200819,AR,54216
20200819,AS,0
20200819,AZ,195557
20200819,CA,638831
20200819,CO,53631
20200819,CT,51314
20200819,DC,13354
20200819,DE,16643
20200819,FL,584047
20200819,GA,243982
20200819,GU,599
20200819,HI,5609
20200819,IA,53288
20200819,ID,28326
20200819,IL,213221
20200819,IN,82336
20200819,KS,35890
20200819,KY,40926
20200819,LA,139903
20200819,MA,124415
20200819,MD,101649
20200819,ME,4234
20200819,MI,104091
20200819,MN,66618
20200819,MO,70675
20200819,MP,54
20200819,MS,74555
20200819,MT,5956
20200819,NC,147932
20200819,ND,8963
20200819,NE,30825
20200819,NH,7036
20200819,NJ,188427
20200819,NM,23579
20200819,NV,63028
20200819,NY,427202
20200819,OH,110881
20200819,OK,49923
20200819,OR,23870
20200819,PA,126149
20200819,PR,27934
20200819,RI,20795
20200819,SC,108411
20200819,SD,10566
20200819,TN,137800
20200819,TX,557256
20200819,UT,47521
20200819,VA,109019
20200819,VI,828
20200819,VT,1533
20200819,WA,70530
20200819,WI,72134
